2026-03-31 13:17:09,344 [INFO] Modo --reprocessar: histórico zerado
2026-03-31 13:17:09,345 [INFO] Buscando XMLs...
2026-03-31 13:18:59,492 [INFO]   131,214 arquivos encontrados
2026-03-31 13:19:41,954 [INFO]   1,000/131,214 verificados — 107 novos
2026-03-31 13:20:24,895 [INFO]   2,000/131,214 verificados — 202 novos
2026-03-31 13:21:07,460 [INFO]   3,000/131,214 verificados — 297 novos
2026-03-31 13:21:55,107 [INFO]   4,000/131,214 verificados — 385 novos
2026-03-31 13:22:39,332 [INFO]   5,000/131,214 verificados — 472 novos
2026-03-31 13:23:25,592 [INFO]   6,000/131,214 verificados — 567 novos
2026-03-31 13:24:10,342 [INFO]   7,000/131,214 verificados — 653 novos
2026-03-31 13:24:52,078 [INFO]   8,000/131,214 verificados — 744 novos
2026-03-31 13:25:33,585 [INFO]   9,000/131,214 verificados — 830 novos
2026-03-31 13:26:17,651 [INFO]   10,000/131,214 verificados — 915 novos
2026-03-31 13:26:58,618 [INFO]   11,000/131,214 verificados — 1,004 novos
2026-03-31 13:27:38,632 [INFO]   12,000/131,214 verificados — 1,074 novos
2026-03-31 13:28:16,714 [INFO]   13,000/131,214 verificados — 1,148 novos
2026-03-31 13:28:53,392 [INFO]   14,000/131,214 verificados — 1,213 novos
2026-03-31 13:29:28,896 [INFO]   15,000/131,214 verificados — 1,299 novos
2026-03-31 13:30:05,687 [INFO]   16,000/131,214 verificados — 1,370 novos
2026-03-31 13:30:41,481 [INFO]   17,000/131,214 verificados — 1,453 novos
2026-03-31 13:31:19,640 [INFO]   18,000/131,214 verificados — 1,528 novos
2026-03-31 13:31:56,101 [INFO]   19,000/131,214 verificados — 1,600 novos
2026-03-31 13:32:32,216 [INFO]   20,000/131,214 verificados — 1,668 novos
2026-03-31 13:33:10,744 [INFO]   21,000/131,214 verificados — 1,743 novos
2026-03-31 13:33:45,515 [INFO]   22,000/131,214 verificados — 1,818 novos
2026-03-31 13:34:20,872 [INFO]   23,000/131,214 verificados — 1,879 novos
2026-03-31 13:34:58,036 [INFO]   24,000/131,214 verificados — 1,944 novos
2026-03-31 13:35:35,007 [INFO]   25,000/131,214 verificados — 2,000 novos
2026-03-31 13:36:12,768 [INFO]   26,000/131,214 verificados — 2,065 novos
2026-03-31 13:36:49,995 [INFO]   27,000/131,214 verificados — 2,116 novos
2026-03-31 13:37:26,996 [INFO]   28,000/131,214 verificados — 2,188 novos
2026-03-31 13:38:05,105 [INFO]   29,000/131,214 verificados — 2,242 novos
2026-03-31 13:38:41,541 [INFO]   30,000/131,214 verificados — 2,301 novos
2026-03-31 13:39:18,305 [INFO]   31,000/131,214 verificados — 2,362 novos
2026-03-31 13:39:53,539 [INFO]   32,000/131,214 verificados — 2,417 novos
2026-03-31 13:40:29,076 [INFO]   33,000/131,214 verificados — 2,480 novos
2026-03-31 13:41:08,073 [INFO]   34,000/131,214 verificados — 2,545 novos
2026-03-31 13:41:44,207 [INFO]   35,000/131,214 verificados — 2,595 novos
2026-03-31 13:42:23,034 [INFO]   36,000/131,214 verificados — 2,655 novos
2026-03-31 13:42:59,623 [INFO]   37,000/131,214 verificados — 2,732 novos
2026-03-31 13:43:35,657 [INFO]   38,000/131,214 verificados — 2,785 novos
2026-03-31 13:44:12,193 [INFO]   39,000/131,214 verificados — 2,852 novos
2026-03-31 13:44:49,019 [INFO]   40,000/131,214 verificados — 2,895 novos
2026-03-31 13:45:25,904 [INFO]   41,000/131,214 verificados — 2,946 novos
2026-03-31 13:46:01,984 [INFO]   42,000/131,214 verificados — 3,001 novos
2026-03-31 13:46:41,831 [INFO]   43,000/131,214 verificados — 3,057 novos
2026-03-31 13:47:19,801 [INFO]   44,000/131,214 verificados — 3,125 novos
2026-03-31 13:47:57,906 [INFO]   45,000/131,214 verificados — 3,190 novos
2026-03-31 13:48:44,860 [INFO]   46,000/131,214 verificados — 3,245 novos
2026-03-31 13:49:20,687 [INFO]   47,000/131,214 verificados — 3,301 novos
2026-03-31 13:49:56,170 [INFO]   48,000/131,214 verificados — 3,354 novos
2026-03-31 13:50:31,865 [INFO]   49,000/131,214 verificados — 3,411 novos
2026-03-31 13:51:08,894 [INFO]   50,000/131,214 verificados — 3,454 novos
2026-03-31 13:51:49,180 [INFO]   51,000/131,214 verificados — 3,512 novos
2026-03-31 13:52:30,991 [INFO]   52,000/131,214 verificados — 3,571 novos
2026-03-31 13:53:12,370 [INFO]   53,000/131,214 verificados — 3,648 novos
2026-03-31 13:53:50,106 [INFO]   54,000/131,214 verificados — 3,713 novos
2026-03-31 13:54:26,954 [INFO]   55,000/131,214 verificados — 3,778 novos
2026-03-31 13:55:05,002 [INFO]   56,000/131,214 verificados — 3,808 novos
2026-03-31 13:55:46,831 [INFO]   57,000/131,214 verificados — 3,867 novos
2026-03-31 13:56:33,597 [INFO]   58,000/131,214 verificados — 3,915 novos
