cnpj,abreviado,nome,classificacao
09080907000182,GENOMMA,Genomma Laboratories do Brasil LTDA,NAO_CONSIDERAR
09080907000344,GENOMMA SC,GENOMMA LABORATORIES DO BRASIL LTDA-EPP,NAO_CONSIDERAR
09080907000263,GENOMMA FIL,GENOMMA LABORATORIES DO BRASIL LTDA,NAO_CONSIDERAR
03551937000143,AMERICAN,AMERICAN FARMA DISTR FARMACEUTICA LTDA,FOB
42225938000150,CSB DROGARIA,CSB DROGARIAS SA,CIF
92665611010300,DIMED RS,DIMED S/A - DISTR DE MEDICAMENTOS,CIF
92665611014984,DIMED SC,DIMED S/A - DISTR DE MEDICAMENTOS,CIF
92665611012850,DIMED RS 1,DIMED S/A - DISTR DE MEDICAMENTOS,CIF
61940292005600,STA CRUZ PE,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ,FOB
61940292005520,STA CRUZ BA,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,FOB
61940292005368,STA CRUZ ES,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,FOB
10948085000198,GENOMMA MEX,Genomma Lab Internacional SA de C.V.,NAO_CONSIDERAR
00677858000195,ARTE NATIVA,ARTE NATIVA PRODUTOS NATURAIS LTDA,NAO_CONSIDERAR
04019475000504,BOMI,FARMA LOGISTICA E ARMAZENS GERAIS LTDA,NAO_CONSIDERAR
61940292000137,STA CRUZ SP,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,FOB
61940292001290,STA CRUZ MG,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,FOB
61940292005287,STA CRUZ GO,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,FOB
01206820001179,PANPHARMA PE,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
01206820000520,PANPHARMA SP,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
01206820001098,PANARELLO RS,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
01206820000440,PANARELLO RJ,SC DISTRIBUICAO LTDA,FOB
01206820000954,PANPHARMA PR,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
01206820001683,PANPHARMA MT,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
01206820000105,PANPHARMA GO,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
01206820001500,PANPHARMA FL,PANPHARMA DIST. DE MEDICAMENTOS LTDA,FOB
01206820000792,PANARELLO DF,DISTR MEDICAMENTOS PANARELLO LTDA,FOB
01206820000369,PANPHARMA MG,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
01206820000873,PANPHARMA BA,PANPHARMA DIST. DE MEDICAMENTOS LTDA,FOB
01206820001250,PANPHARMA AR,PANPHARMA DIST. DE MEDICAMENTOS LTDA,FOB
08675130000136,CONTCLASS,CONTCLASS SERV. DE PROC. DE DADOS LTDA,NAO_CONSIDERAR
01227675000130,ALLNET,ALLNET TELECOMUNICACOES E INFORMATICA LTDA,NAO_CONSIDERAR
54651716001150,GIMBA,SUPRICORP SUPRIMENTOS LTDA,NAO_CONSIDERAR
04718143000194,VR MEDICAL,VR MEDICAL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS MEDICOS LTDA,NAO_CONSIDERAR
03688545000201,DIGITAL WORK,DIGITAL WORK COMPUTER SERVICE COMERCIAL LTDA,NAO_CONSIDERAR
61585865000151,DROGASIL,RAIA DROGASIL S.A.,CIF
61412110000236,DROGARIA SAO,DROGARIA SAO PAULO,CIF
61412110007320,DSPDIADEMA,DROGARIA SAO PAULO - DIADEMA,CIF
47410592000183,DROGAO,ORGANIZACAO FARMACEUTICA DROGAO LTDA,CIF
44463156000699,SERVIMED GO,SERVIMED COMERCIAL LTDA,CIF
44463156000184,SERVIMED SP,SERVIMED COMERCIAL LTDA,CIF
03772503000173,CEMED,CEMED COM IMP EXP E DISTRIBUICAO LTDA,NAO_CONSIDERAR
01206820001411,PANPHARMA CE,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
61940292004710,STA CRUZ RS,DISTR MEDICAMENTOS SANTA CRUZ LTDA,FOB
61940292001702,STA CRUZ RJ,DISTR MEDICAMENTOS SANTA CRUZ LTDA,FOB
61940292000218,STA CRUZ PR,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,FOB
61940292004639,STA CRUZ ARA,DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,FOB
04688132000109,SUDESTEFARMA,SUDESTEFARMA S.A. PRODUTOS FARMACEUTICOS,CIF
72381189000625,Dell Comput,DELL COMPUTADORES DO BRASIL,NAO_CONSIDERAR
43244631000169,TRANSP AMER,TRANSPORTADORA AMERICANA LTDA,NAO_CONSIDERAR
01206820002060,PANARELLO ES,PANPHARMA DISTRIB. DE MEDICAMENTOS LTDA,FOB
04019475000180,FARMA LOG,FARMA LOGISTICA E ARMAZENS GERAIS LTDA,NAO_CONSIDERAR
61940292005872,STA CRUZ SC,DISTR MEDICAMENTOS SANTA CRUZ LTDA,FOB
00478478000121,ABIHPEC,ASSOCIACAO BRA. DA IND. DE HIGIENE PESSOAL PERF. E COSMESTICOS - ABIPHEC,NAO_CONSIDERAR
60628369000175,RECORD,RADIO E TELEVISAO RECORD SA,NAO_CONSIDERAR
61549259003368,ONOFRE,DROGARIA ONOFRE LTDA,CIF
44463156001741,SERVIMED ES,SERVIMED COMERCIAL LTDA,CIF
01206820001764,PANARELLO MS,PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA,FOB
49732175002479,Tok & Stok,ESTOK COMERCIO E REPRESENTACOES S.A.,NAO_CONSIDERAR
03262073000140,RCR,RCR REPRESENTAÇÕES E SERVIÇOS LTDA,NAO_CONSIDERAR
61585865040960,DROGASIL MG,RAIA DROGASIL MG,CIF
33438250000167,PACHECO RJ,DROGARIAS PACHECO S/A,CIF
45453214002529,PROFARMA BA,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
45453214002014,PROFARMA MG,PROFARMA DISTR DE PR0D FARMACÊUTICOS S/A,CIF
